id,parentId,type,title,description,showHexagon,vip
main,,,小书匠,,,
grammar,main,,语法,丰富的语法才能满足用户多样的使用体验，小书匠不仅提供标准的 commonmark 语法支持，还提供了很多功能更加强大的语法，像公式，流程图，思维脑图，plantuml等。,1,
fileManagers,main,,文件管理,,,
export,outIn,,导出,,,
outIn,main,,输入输出,,,
publicEmail,outIn,,发送电子邮件,,,
customPublicEmail,publicEmail,,自定义邮件服务器,,,
multiplePublicEmail,publicEmail,,多人接收,,,
customContentPublicEmail,publicEmail,,自定义输出内容,,,
publicMarkdownEmail,publicEmail,,纯markdown文件发送邮件,,,
publicHTMLEmail,publicEmail,,富文本文件发送邮件,,,
attachmentPublicEmail,publicEmail,,附件形式发送邮件,,,
publicBlog,outIn,,发布博客平台,,,
wechatout,outIn,,支持微信公众号输出格式,,,
wechatpic,wechatout,,微信图片优化处理,,,
wechatmathjax,wechatout,,微信公式优化处理,,,
wechatcodeblock,wechatout,,微信代码块优化处理,,,
wechatcodeblocklinenum,wechatout,,支持带行号显示,,,
publicBlogCnblog,publicBlog,,发布到博客园,,,
publicBlogWordpress,publicBlog,,发布到Wordpress博客平台,,,
publicBlogTypecho,publicBlog,,发布到typecho博客平台,,,
publicBlogMetaBlog,publicBlog,,发布到支持MetaBlogapi的博客平台,,,
import,outIn,,导入,,,
importByMd,import,,markdown导入,,,
importByZip,import,,通过小书匠导出的zip，可以再次导入,,,
importByHtml,import,,自动将html转换成md格式导入,,,
relateMd,import,,支持关联打开markdown文件,,,
editor,main,,编辑,"小书匠内置了很多编辑器，ace, codemirror ,竖排编辑器。全屏写作，行专注，小地图，大纲，提高用户的写作效率",1,
preview,main,,预览,,,
store,main,,存储,数据就是用户的血液，只有流动的血液才能让生命有活力。小书匠不仅内置了数据中心，更是提供了一条龙式的多站导出。不同的存储平台多进行了大量的样式优化。,1,
outerStore,store,,第三方存储,,,
database,store,,数据中心,,,
imageStore,store,,图片,一篇文章，如果只有文字，没有图片。就好比生活只有了柴米油盐，没了诗和远方,1,
commonGrammar,grammar,,基础语法,,,
extraGrammar,grammar,,高级语法,,,
featureGrammar,grammar,,小书匠专有语法,,,
otherGrammar,grammar,,其他配置显示,,,
headingRender,otherGrammar,,标题自动带编号,,,
attachmentRender,otherGrammar,,自动识别非图片语法为附件,,,
blockPicRender,otherGrammar,,自动识别块级图片,,,
blockPicFigureRender,otherGrammar,,自动显示块级图片描述文字,,,
